Fiscal Year,Area,Subsidiary,Product,Reported Subsegment,Forecast Planning Level,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FY19,WE,Austria,Office,EPG Commercial,EA Renewal,1312280.943,,4261.8093,36521.9074,8070.3144,203493.8609,394605.0369,46035.2668,529568.2369,376590.2146,,1760906.302,,,,
FY19,WE,Austria,Office 365,EPG Commercial,EA Renewal,912,,,,,,,,,,,,,,,
FY19,WE,Austria,OSD Subs & Trans OSD SMSG,EPG Commercial,EA Renewal,22.08,,,22.08,,,22.08,,,22.08,,,,,,
FY19,WE,Austria,Other IW Apps,EPG Commercial,EA Renewal,2429.9245,,,,,443.15,,,,,,443.15,,,,
FY19,WE,Austria,Project,EPG Commercial,EA Renewal,155220.0123,,293.892,10501.268,1643.048,4881.27,37811.354,7945.1238,23526.18,24238.518,,246079.25,,,,
FY19,WE,Austria,S&T CAL Suites - Core CAL,EPG Commercial,EA Renewal,143683.1998,,,13054.4899,1909.9052,36368.6616,39304.3924,515.8226,90120.5208,28106.3837,,545793.3684,,,,
FY19,WE,Austria,S&T CAL Suites - ECAL,EPG Commercial,EA Renewal,178621.3684,,987.0529,2435.69,,658.8457,40465.9936,13508.4426,70677.6579,2435.69,,7085.641,,,,
FY19,WE,Austria,SharePoint CAL,EPG Commercial,EA Renewal,842.84,,,628.8,,,690.27,,,54136.8,,80570.6,,,,
FY19,WE,Austria,SharePoint for Internet Sites,EPG Commercial,EA Renewal,6226.9125,,,,,,,,40017.6,,,,,,,
FY19,WE,Austria,SharePoint Server,EPG Commercial,EA Renewal,45155.0234,,159.096,1633.626,88.63,14207.87,9675.432,,9945.64,2729.416,,35456.71,,,,
FY19,WE,Austria,SQL Server Premium,EPG Commercial,EA Renewal,164459.7955,,,6405.7,,136843.01,58788.3,,-43680.03,51379.78,,147641.49,,,,
